MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
CXOU J122958.0+075805,12 29 58.0,+07 58 05,X,2008ApJ...689..983H,XB,2008ApJ...689..983H
CXOMKZ J1229580+075806,12 29 58.0,+07 58 06,X,2003ApJ...586..814M,X,2003ApJ...586..814M
[CHP2004] J122931.7+075832,12 29 31.7,+07 58 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.3853669+7.9812705,12 29 32.4881,+07 58 52.574,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122932.5+075853,12 29 32.5,+07 58 53,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.3853340+7.9811474,12 29 32.4802,+07 58 52.131,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122932.8+075858,12 29 32.8,+07 58 58,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229579+075928,12 29 57.9,+07 59 28,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.3762703+7.9927313,12 29 30.3049,+07 59 33.833,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
2MASS J12293026+0759340,12 29 30.26,+07 59 34.1,I,2003yCat.2246....0C,XB,2003yCat.2246....0C
NGC  4467,12 29 30.267,+07 59 34.62,I,2006AJ....131.1163S,GinGroup,2006AJ....131.1163S
CXOMKZ J1230031+080018,12 30 03.1,+08 00 18,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122951.3+080328,12 29 51.3,+08 03 28,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122956.8+080911,12 29 56.820,+08 09 11.56,O,2009yCat.2294....0A,AGN_Candidate,2009yCat.2294....0A
2XMM J122935.6+075327,12 29 35.654,+07 53 26.48,O,2009yCat.2294....0A,X,2009yCat.2294....0A
CXOMKZ J1229488+080431,12 29 48.8,+08 04 31,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
2XMM J122859.0+075653,12 28 59.075,+07 56 52.79,O,2009yCat.2294....0A,X,2009yCat.2294....0A
